fecha,casos_activos
13/03/20,2
14/03/20,2
15/03/20,17
16/03/20,17
17/03/20,33
18/03/20,36
19/03/20,42
20/03/20,64
21/03/20,55
22/03/20,55
23/03/20,69
24/03/20,69
25/03/20,91
26/03/20,91
27/03/20,80
28/03/20,78
29/03/20,77
30/03/20,93
31/03/20,93
01/04/20,98
02/04/20,98
03/04/20,94
04/04/20,96
05/04/20,100
06/04/20,93
07/04/20,94
08/04/20,93
09/04/20,78
10/04/20,82
11/04/20,73
12/04/20,79
13/04/20,70
14/04/20,70
15/04/20,77
16/04/20,84
17/04/20,84
18/04/20,101
19/04/20,130
20/04/20,158
21/04/20,156
22/04/20,166
23/04/20,166
24/04/20,176
25/04/20,181
26/04/20,178
27/04/20,177
28/04/20,177
29/04/20,179
30/04/20,181
01/05/20,183
02/05/20,187
03/05/20,199
04/05/20,189
05/05/20,193
06/05/20,193
07/05/20,186
08/05/20,188
09/05/20,202
10/05/20,211
11/05/20,207
12/05/20,193
13/05/20,210
14/05/20,225
15/05/20,220
16/05/20,251
